Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-B,M,95238
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-B,F,105120
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-C,M,89806
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-C,F,105120
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-D,M,89806
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-D,F,105120
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-E,M,89806
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-E,F,105120
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,OC,M,130056
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,OC,F,130056
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,SC,M,130056
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,SC,F,130056
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,ST,M,130515
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,ST,F,130515
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-A,M,130110
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-A,F,130110
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-B,M,130150
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-B,F,130150
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-C,F,130056
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-D,M,130056
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-D,F,130056
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-E,M,130056
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CIV,BC-E,F,130056
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,OC,M,65061
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,OC,F,65061
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,SC,M,117980
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,SC,F,130542
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,ST,M,123567
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,ST,F,123567
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-A,M,106535
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-A,F,127686
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-B,M,90744
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-B,F,122378
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-C,M,75197
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-C,F,82658
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-D,M,84457
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-D,F,125479
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-E,M,90130
2019,ACES,ADITYA COLLEGE OF ENGINEERING,CSE,BC-E,F,100392
